,dim,walk_len,n_walks,p,q,window,hopkins
406,60,55,5,0.75,1.0,10,0.5877630048085073
407,60,55,5,0.75,1.0,15,0.5236659697945975
408,60,55,10,0.75,1.0,5,0.5279885903678897
409,60,55,10,0.75,1.0,10,0.6144515561824699
410,60,55,10,0.75,1.0,15,0.501867643254332
411,60,55,15,0.75,1.0,5,0.5295237925574738
412,60,55,15,0.75,1.0,10,0.5358903112229562
413,60,55,15,0.75,1.0,15,0.5018711522339329
414,60,65,5,0.75,1.0,5,0.5129268858312752
415,60,65,5,0.75,1.0,10,0.42375197938359627
416,60,65,5,0.75,1.0,15,0.5281945825010589
417,60,65,10,0.75,1.0,5,0.5138407869312196
418,60,65,10,0.75,1.0,10,0.429985536062526
419,60,65,10,0.75,1.0,15,0.5823959118904268
420,60,65,15,0.75,1.0,5,0.6025168249935323
421,60,65,15,0.75,1.0,10,0.49045781322998444
422,60,65,15,0.75,1.0,15,0.559317584850425
423,60,75,5,0.75,1.0,5,0.4835340475345414
424,60,75,5,0.75,1.0,10,0.46120425831073325
425,60,75,5,0.75,1.0,15,0.5553645659106183
426,60,75,10,0.75,1.0,5,0.5239186167984189
427,60,75,10,0.75,1.0,10,0.5017830526524096
428,60,75,10,0.75,1.0,15,0.49903341594969597
429,60,75,15,0.75,1.0,5,0.44068551281287316
430,60,75,15,0.75,1.0,10,0.5566653043154008
431,60,75,15,0.75,1.0,15,0.48975266652536587
432,70,5,5,0.75,1.0,5,0.6301374010740011
433,70,5,5,0.75,1.0,10,0.6356907131844953
434,70,5,5,0.75,1.0,15,0.5833548891317875
435,70,5,10,0.75,1.0,5,0.6970065945323921
436,70,5,10,0.75,1.0,10,0.6475192011036498
437,70,5,10,0.75,1.0,15,0.6269164727529443
438,70,5,15,0.75,1.0,5,0.6969460650111774
439,70,5,15,0.75,1.0,10,0.6388587789021261
440,70,5,15,0.75,1.0,15,0.6668096870181949
441,70,15,5,0.75,1.0,5,0.6601178631459921
442,70,15,5,0.75,1.0,10,0.678827727514355
443,70,15,5,0.75,1.0,15,0.6414601194660515
444,70,15,10,0.75,1.0,5,0.6699236700975777
445,70,15,10,0.75,1.0,10,0.6937078315240787
446,70,15,10,0.75,1.0,15,0.611820635087716
447,70,15,15,0.75,1.0,5,0.5473995550683424
448,70,15,15,0.75,1.0,10,0.5573830695365182
449,70,15,15,0.75,1.0,15,0.5232170121774228
450,70,25,5,0.75,1.0,5,0.5261794961324011
451,70,25,5,0.75,1.0,10,0.48093277855121414
452,70,25,5,0.75,1.0,15,0.5848960082813317
453,70,25,10,0.75,1.0,5,0.48190202233263
454,70,25,10,0.75,1.0,10,0.4877748022192308
455,70,25,10,0.75,1.0,15,0.47956586115557626
456,70,25,15,0.75,1.0,5,0.57049695225284
457,70,25,15,0.75,1.0,10,0.44141010469434727
458,70,25,15,0.75,1.0,15,0.5100278258873641
459,70,35,5,0.75,1.0,5,0.6149940044192818
460,70,35,5,0.75,1.0,10,0.42344713757796293
461,70,35,5,0.75,1.0,15,0.49944921541197834
462,70,35,10,0.75,1.0,5,0.439988779467493
463,70,35,10,0.75,1.0,10,0.4588927848178608
464,70,35,10,0.75,1.0,15,0.47051142998849127
465,70,35,15,0.75,1.0,5,0.5181109538741021
466,70,35,15,0.75,1.0,10,0.5597299057930384
467,70,35,15,0.75,1.0,15,0.5231132823193834
468,70,45,5,0.75,1.0,5,0.4921001693106835
469,70,45,5,0.75,1.0,10,0.4501063963092845
470,70,45,5,0.75,1.0,15,0.45285172823985315
471,70,45,10,0.75,1.0,5,0.5477978132187927
472,70,45,10,0.75,1.0,10,0.5110029182409273
473,70,45,10,0.75,1.0,15,0.5388898321331583
474,70,45,15,0.75,1.0,5,0.6234458892974549
475,70,45,15,0.75,1.0,10,0.5570907004344329
476,70,45,15,0.75,1.0,15,0.46551321304466364
477,70,55,5,0.75,1.0,5,0.5852856048642807
478,70,55,5,0.75,1.0,10,0.5886583224050445
479,70,55,5,0.75,1.0,15,0.4588373793869973
480,70,55,10,0.75,1.0,5,0.5152094784504526
