,dim,walk_len,n_walks,p,q,window,ARI
463,70,35,10,0.75,1.0,10,-0.04032258064516129
464,70,35,10,0.75,1.0,15,-0.024844720496894408
465,70,35,15,0.75,1.0,5,-0.024844720496894408
466,70,35,15,0.75,1.0,10,-0.024844720496894408
467,70,35,15,0.75,1.0,15,-0.024844720496894408
468,70,45,5,0.75,1.0,5,-0.024844720496894408
469,70,45,5,0.75,1.0,10,-0.024844720496894408
470,70,45,5,0.75,1.0,15,-0.024844720496894408
471,70,45,10,0.75,1.0,5,-0.024844720496894408
472,70,45,10,0.75,1.0,10,-0.029411764705882353
473,70,45,10,0.75,1.0,15,-0.04032258064516129
474,70,45,15,0.75,1.0,5,-0.024844720496894408
475,70,45,15,0.75,1.0,10,-0.024844720496894408
476,70,45,15,0.75,1.0,15,-0.024844720496894408
477,70,55,5,0.75,1.0,5,-0.024844720496894408
478,70,55,5,0.75,1.0,10,-0.024844720496894408
479,70,55,5,0.75,1.0,15,-0.024844720496894408
480,70,55,10,0.75,1.0,5,-0.04032258064516129
481,70,55,10,0.75,1.0,10,0.056451612903225805
482,70,55,10,0.75,1.0,15,-0.024844720496894408
483,70,55,15,0.75,1.0,5,-0.024844720496894408
484,70,55,15,0.75,1.0,10,-0.024844720496894408
485,70,55,15,0.75,1.0,15,-0.024844720496894408
486,70,65,5,0.75,1.0,5,0.06862745098039216
487,70,65,5,0.75,1.0,10,-0.024844720496894408
488,70,65,5,0.75,1.0,15,-0.024844720496894408
489,70,65,10,0.75,1.0,5,-0.024844720496894408
490,70,65,10,0.75,1.0,10,0.0330188679245283
491,70,65,10,0.75,1.0,15,-0.024844720496894408
492,70,65,15,0.75,1.0,5,-0.024844720496894408
493,70,65,15,0.75,1.0,10,-0.024844720496894408
494,70,65,15,0.75,1.0,15,-0.024844720496894408
495,70,75,5,0.75,1.0,5,-0.024844720496894408
496,70,75,5,0.75,1.0,10,-0.024844720496894408
497,70,75,5,0.75,1.0,15,-0.024844720496894408
498,70,75,10,0.75,1.0,5,-0.024844720496894408
499,70,75,10,0.75,1.0,10,-0.024844720496894408
